COMPANY;MES;ANO;DATA_PARCELA_1;PARCELA1;DATA_PARCELA_2;PARCELA_2;DATA_PARCELA_3;PARCELA_3
ac78268421dc32d7cee87d44cd9da7dc1c578b76fe86f8af62da700c6bd60603;4;2021;15/05/21;42218,6775;25/05/21;42218,6775;05/06/21;42218,6775
6c65392df906255b7c79c1b887802bc922f818200db8c76ec53c1a76f5143b47;4;2021;15/05/21;0;25/05/21;85405,5;05/06/21;0
1d4f844fde4a1cd392d8a9f0e8d951eab23640d2ebc8e53bd9d4fe7e31345ae2;4;2021;15/05/21;0;25/05/21;140365,455;05/06/21;0
c487b40198cff7144798ee944048134f16709935dea124b2b28ed244cb568bcf;4;2021;15/05/21;0;25/05/21;74415,825;05/06/21;0
94929d1a84462e2ce3c8bf239134562a08f799cb1d54f1d9b22b6f08df98eeb7;4;2021;15/05/21;0;25/05/21;14659,7175;05/06/21;0
c487b40198cff7144798ee944048134f16709935dea124b2b28ed244cb568bcf;4;2021;15/05/21;0;25/05/21;2085,0825;05/06/21;0
ea71d6b861cca8d73dc2447cf91efd30c23b5432e2f8c60ad45514648b938e4d;4;2021;15/05/21;0;25/05/21;169343,055;05/06/21;0
bac2ea73eff76151887853ea0513bcceba99078c5efc7e96d31ae9a3880dd2ed;4;2021;15/05/21;0;25/05/21;0;05/06/21;0
732b9ab1a0914c5cc3e1c105d33328a31c36242be6af1ee0ce099f5f75b92ca7;4;2021;15/05/21;0;25/05/21;143726,5725;05/06/21;0
5db1cd43f2bfbb2b48f8e0a19c6a0155ba2ab11d61aee1f8e248224b084bd8a8;4;2021;15/05/21;0;25/05/21;18194,745;05/06/21;0
6e5083d53bf280287e75d646967cfea7a73e04c7a3b349b14ab82af84adc14a0;4;2021;15/05/21;0;25/05/21;36756,6675;05/06/21;0
0b4bfb7277f2d169e7c3b6fd22656e818ac6e1c4ccc8d35dff2ede68fe155425;4;2021;15/05/21;44045,9175;25/05/21;44045,9175;05/06/21;44045,91
4329f65347af6d9e9ea48bfa380843a3581ffd9a42c65270101284e8cabb1b15;4;2021;15/05/21;0;25/05/21;12112,3275;05/06/21;0
